"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"8498","RT @AmmarAshraf: Guard of Honour by pakistan team. Misbah leaving the fiel Uff #MisYou https://t.co/s7Nb9O4FdL",FALSE,0,NA,2017-05-13 18:31:46,FALSE,NA,"863461782752505860",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ayesha_ZaYain",224,TRUE,FALSE,NA,NA
"8499","RT @SyedRezaMehdi: Misbah-ul-Haq walks off to a guard of honour from his team-mates. This is how legend career comes to an end. #MisYou #WI‚Ä¶",FALSE,0,NA,2017-05-13 18:31:45,FALSE,NA,"863461782588973058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BadamiAqsaa",224,TRUE,FALSE,NA,NA
"8500","RT @ESPNcricinfo: Misbah-ul-Haq and Younis Khan together at the crease for the final time in Test cricket 

https://t.co/bclaPv1C52 #MisYou‚Ä¶",FALSE,0,NA,2017-05-13 18:31:45,FALSE,NA,"863461782110834694",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mfaizan_anjum",392,TRUE,FALSE,NA,NA
"8501","RT @ESPNcricinfo: Misbah-ul-Haq walks off to a guard of honour from his team-mates 

 https://t.co/bclaPvjcWA #MisYou #WIvPAK",FALSE,0,NA,2017-05-13 18:31:45,FALSE,NA,"863461781846597632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrshezad",58,TRUE,FALSE,NA,NA
"8502","RT @iamusamamir: What a beautiful image #MisYou https://t.co/bWvlSPFk4Q",FALSE,0,NA,2017-05-13 18:31:44,FALSE,NA,"863461778205945857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HooriaAmin",140,TRUE,FALSE,NA,NA
"8503","RT @AmmarAshraf: Another #MisYou Hug https://t.co/869kPm4JwH",FALSE,0,NA,2017-05-13 18:31:43,FALSE,NA,"863461774288465920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","waseemliaqatt",19,TRUE,FALSE,NA,NA
"8504","#ThankYou #Misbah you will be our captain cool forever.. you have served #Pakistan #Cricket well enough.. we surely will #MisYou Ì†ΩÌ∏¢",FALSE,0,NA,2017-05-13 18:31:43,FALSE,NA,"863461772891742208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ahsan_ch6",0,FALSE,FALSE,NA,NA
"8505","RT @AmmarAshraf: Guard of Honour by pakistan team. Misbah leaving the fiel Uff #MisYou https://t.co/s7Nb9O4FdL",FALSE,0,NA,2017-05-13 18:31:42,FALSE,NA,"863461769846693889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tveets1",224,TRUE,FALSE,NA,NA
"8506","Thank you Misbah (@captainmisbahpk)!!!

#MisYou #PAKvWI #Misbah #MisbahYounis https://t.co/E1IoKuQBgs",FALSE,0,NA,2017-05-13 18:31:42,FALSE,NA,"863461769724997632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YaruqNadeem",0,FALSE,FALSE,NA,NA
"8507","Misbah was a leader of crt history 
He managed the  criticism very effectively 
#MisYou",FALSE,0,NA,2017-05-13 18:31:42,FALSE,NA,"863461769544687616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mateen5551",0,FALSE,FALSE,NA,NA
"8508","RT @iamusamamir: What a beautiful image #MisYou https://t.co/bWvlSPFk4Q",FALSE,0,NA,2017-05-13 18:31:41,FALSE,NA,"863461763542646785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Janab_e_Ali",140,TRUE,FALSE,NA,NA
"8509","RT @ESPNcricinfo: Misbah-ul-Haq's final Test innings ends with a top-edged slog-sweep!  

 https://t.co/bclaPvjcWA #MisYou #WIvPAK https://‚Ä¶",FALSE,0,NA,2017-05-13 18:31:41,FALSE,NA,"863461763467161602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HumayounAK",57,TRUE,FALSE,NA,NA
"8510","Watching Younus Khan Last Time!!!
Watching Him Since Childhood!!
#Legend #MisYou ‚Äî watching pakistan vs westindies",FALSE,0,NA,2017-05-13 18:31:41,FALSE,NA,"863461762162503680",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Insafian4ever",0,FALSE,FALSE,NA,NA
"8511","RT @ESPNcricinfo: Misbah-ul-Haq walks off to a guard of honour from his team-mates 

 https://t.co/bclaPvjcWA #MisYou #WIvPAK",FALSE,0,NA,2017-05-13 18:31:40,FALSE,NA,"863461760946319360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SamirAli3636",58,TRUE,FALSE,NA,NA
"8512","GOODBYE MISBAH.PAK IS GONNA MISS YOU #Misyou #PAKvWI #Pakistan #cricket",FALSE,0,NA,2017-05-13 18:31:40,FALSE,NA,"863461759339941888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Taim478",0,FALSE,FALSE,NA,NA
"8513","Thank You Misbah Ul Haq #MisYou #WIvPAK https://t.co/3Y6EP7V3Q1",FALSE,0,NA,2017-05-13 18:31:39,FALSE,NA,"863461757532164096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PakCricketism",0,FALSE,FALSE,NA,NA
"8514","RT @iamusamamir: What a beautiful image #MisYou https://t.co/bWvlSPFk4Q",FALSE,0,NA,2017-05-13 18:31:39,FALSE,NA,"863461755279855618",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aaasifmehmood",140,TRUE,FALSE,NA,NA
